iso_time,window_id,decision,reason,secs_left,price,strike,cushion,favorite,best_ask,spread,p_win,edge,sigma_per_s,vel_per_s
2026-06-17T12:04:53Z,1781697600,SKIP,CUSHION<50,6.5,64757.48,64750.41,7.07,UP,,,,,,
2026-06-17T12:09:53Z,1781697900,SKIP,CUSHION<50,6.2,64797.68,64766.56,31.12,UP,,,,,,
2026-06-17T12:14:53Z,1781698200,SKIP,CUSHION<50,6.9,64790.3,64797.81,-7.51,DOWN,,,,,,
2026-06-17T12:19:53Z,1781698500,SKIP,CUSHION<50,6.7,64782.72,64790.51,-7.79,DOWN,,,,,,
2026-06-17T12:24:53Z,1781698800,SKIP,NO_BOOK,6.2,64642.29,64770.95,-128.66,DOWN,,,,,,-0.123
2026-06-17T12:29:53Z,1781699100,SKIP,CUSHION<50,7.0,64631.31,64638.5,-7.19,DOWN,,,,,,
2026-06-17T12:34:53Z,1781699400,SKIP,NO_BOOK,6.6,64713.44,64634.5,78.95,UP,,,,,,0.525
2026-06-17T12:39:53Z,1781699700,SKIP,CUSHION<50,6.3,64767.58,64725.29,42.29,UP,,,,,,
2026-06-17T12:44:53Z,1781700000,SKIP,NO_BOOK,6.9,64863.18,64757.07,106.11,UP,,,,,,1.011
2026-06-17T12:49:53Z,1781700300,SKIP,NO_BOOK,6.5,64959.5,64859.82,99.68,UP,,,,,,0.532
2026-06-17T12:54:54Z,1781700600,SKIP,NO_BOOK,6.0,64897.28,64967.04,-69.76,DOWN,,,,,,-0.205
2026-06-17T12:59:53Z,1781700900,SKIP,NO_BOOK,6.5,64995.97,64897.91,98.06,UP,,,,,,0.972
2026-06-17T13:19:56Z,1781702100,SKIP,AT_STRIKE,3.5,64998.25,64998.25,0.0,,,,,,,
2026-06-17T13:39:53Z,1781703300,SKIP,NO_BOOK,6.1,65170.56,65024.95,145.6,UP,,,,,,1.178
2026-06-17T13:44:53Z,1781703600,SKIP,CUSHION<50,6.6,65205.64,65164.35,41.29,UP,,,,,,
2026-06-17T13:49:53Z,1781703900,SKIP,CUSHION<50,6.3,65246.83,65226.99,19.84,UP,,,,,,
2026-06-17T13:54:53Z,1781704200,SKIP,CUSHION<50,6.2,65255.48,65241.4,14.08,UP,,,,,,
2026-06-17T13:59:53Z,1781704500,SKIP,CUSHION<50,6.8,65246.0,65275.9,-29.9,DOWN,,,,,,
2026-06-17T14:04:53Z,1781704800,SKIP,NO_BOOK,6.4,65141.7,65238.29,-96.59,DOWN,,,,,,-0.117
2026-06-17T14:09:53Z,1781705100,SKIP,CUSHION<50,6.9,65156.53,65141.18,15.35,UP,,,,,,
2026-06-17T14:14:53Z,1781705400,SKIP,NO_BOOK,6.7,65291.25,65157.52,133.73,UP,,,,,,1.162
2026-06-17T14:19:53Z,1781705700,SKIP,NO_BOOK,6.2,65214.32,65291.73,-77.41,DOWN,,,,,,0.449
2026-06-17T14:24:53Z,1781706000,SKIP,CUSHION<50,6.7,65197.62,65209.46,-11.84,DOWN,,,,,,
2026-06-17T15:24:53Z,1781709600,STAND_DOWN,FEED_STALE,6.5,,,,,,,,,,
2026-06-17T15:29:30Z,1781709900,WOULD_BUY,DOWN,29.3,65261.24,65313.31,-52.07,DOWN,0.94,0.01,0.991,0.051,3.13,-1.799
2026-06-17T15:34:53Z,1781710200,SKIP,NO_BOOK,6.5,65331.14,65277.66,53.48,UP,,,,,,-0.637
2026-06-17T15:39:53Z,1781710500,SKIP,NO_BOOK,7.0,65438.79,65336.11,102.68,UP,,,,,,-1.217
2026-06-17T15:44:53Z,1781710800,SKIP,CUSHION<50,6.7,65433.25,65428.85,4.4,UP,,,,,,
2026-06-17T15:49:53Z,1781711100,SKIP,NO_BOOK,6.5,65639.88,65442.72,197.16,UP,,,,,,1.216
2026-06-17T15:54:53Z,1781711400,SKIP,CUSHION<50,6.1,65636.35,65647.95,-11.6,DOWN,,,,,,
2026-06-17T15:59:53Z,1781711700,SKIP,NO_MARKET,6.9,65700.26,65638.91,61.35,UP,,,,,,1.251
2026-06-17T16:04:53Z,1781712000,SKIP,NO_MARKET,6.8,65772.95,65696.74,76.21,UP,,,,,,-0.007
