iso_time,window_id,checkpoint_s,secs_left,price,strike,cushion,favorite,fav_has_book,fav_best_ask,fav_spread,fav_depth,loser_best_ask,loser_depth,our_p_win,our_edge,fillable_edge
2026-06-17T12:53:00Z,1781700600,120,119.6,64915.82,64967.04,-51.22,DOWN,True,0.92,0.01,759.1,0.09,162.8,0.9434,0.0234,False
2026-06-17T12:53:30Z,1781700600,90,89.7,64902.83,64967.04,-64.21,DOWN,True,0.97,0.01,537.0,0.04,112.2,0.9951,0.0251,False
2026-06-17T12:54:00Z,1781700600,60,59.8,64904.98,64967.04,-62.06,DOWN,True,0.99,0.01,11734.9,0.02,338.9,1.0,0.01,False
2026-06-17T12:54:30Z,1781700600,30,29.9,64904.28,64967.04,-62.77,DOWN,False,,,0.0,0.01,7881.1,1.0,,False
2026-06-17T12:54:45Z,1781700600,15,14.6,64899.44,64967.04,-67.6,DOWN,False,,,0.0,0.01,20894.8,1.0,,False
2026-06-17T12:58:00Z,1781700900,120,119.9,64960.6,64897.91,62.69,UP,True,0.96,0.01,572.9,0.05,682.4,0.9992,0.0392,False
2026-06-17T12:58:30Z,1781700900,90,89.9,64959.35,64897.91,61.44,UP,True,0.98,0.01,699.3,0.03,812.2,0.9979,0.0179,False
2026-06-17T12:59:00Z,1781700900,60,59.5,64975.53,64897.91,77.62,UP,True,0.99,0.01,58.2,0.02,1784.7,1.0,0.01,False
2026-06-17T12:59:30Z,1781700900,30,29.6,64982.71,64897.91,84.8,UP,False,,,0.0,0.01,19863.2,1.0,,False
2026-06-17T12:59:45Z,1781700900,15,14.8,64986.36,64897.91,88.45,UP,False,,,0.0,0.01,28325.1,1.0,,False
2026-06-17T13:03:00Z,1781701200,120,119.6,64977.09,64992.06,-14.97,DOWN,True,0.6,0.01,288.2,0.41,287.1,0.6995,0.0995,True
2026-06-17T13:03:30Z,1781701200,90,89.5,64970.98,64992.06,-21.08,DOWN,True,0.7,0.01,375.0,0.31,18.9,0.7977,0.0977,True
2026-06-17T13:04:00Z,1781701200,60,59.6,64952.0,64992.06,-40.06,DOWN,True,0.97,0.01,990.8,0.04,1334.1,0.9921,0.0221,False
2026-06-17T13:38:00Z,1781703300,120,119.9,65154.72,65027.73,126.99,UP,False,,,0.0,0.01,5293.5,0.9104,,False
2026-06-17T13:38:30Z,1781703300,90,89.9,65175.33,65027.73,147.6,UP,False,,,0.0,0.01,9446.9,0.9632,,False
2026-06-17T13:39:00Z,1781703300,60,59.8,65123.2,65027.73,95.47,UP,False,,,0.0,0.01,3862.4,0.9706,,False
2026-06-17T13:39:30Z,1781703300,30,29.8,65157.33,65027.73,129.6,UP,False,,,0.0,0.01,35389.3,0.9998,,False
2026-06-17T13:39:45Z,1781703300,15,14.9,65159.12,65027.73,131.39,UP,False,,,0.0,0.001,2812.9,1.0,,False
2026-06-17T13:43:00Z,1781703600,120,119.9,65218.64,65164.35,54.29,UP,True,0.77,0.01,1039.5,0.24,194.2,0.8033,0.0333,False
2026-06-17T13:43:30Z,1781703600,90,89.8,65198.26,65164.35,33.91,UP,True,0.71,0.07,641.5,0.36,59.5,0.7192,0.0092,False
2026-06-17T13:44:00Z,1781703600,60,59.7,65165.82,65164.35,1.47,UP,True,0.47,0.01,469.6,0.54,108.2,0.5137,0.0437,False
2026-06-17T13:44:30Z,1781703600,30,29.6,65191.72,65164.35,27.37,UP,True,0.73,0.01,313.5,0.28,127.1,0.8989,0.1689,True
2026-06-17T13:44:45Z,1781703600,15,14.8,65213.65,65164.35,49.3,UP,True,0.97,0.01,156.9,0.03,6.2,1.0,0.03,False
2026-06-17T13:48:00Z,1781703900,120,119.8,65232.97,65226.99,5.98,UP,True,0.6,0.01,83.0,0.41,580.6,0.5321,-0.0679,False
2026-06-17T13:48:30Z,1781703900,90,89.8,65239.84,65226.99,12.85,UP,True,0.67,0.01,35.0,0.34,422.9,0.6164,-0.0536,False
2026-06-17T13:49:00Z,1781703900,60,59.7,65231.66,65226.99,4.67,UP,True,0.7,0.01,84.0,0.31,548.2,0.5561,-0.1439,False
2026-06-17T13:49:30Z,1781703900,30,29.6,65244.39,65226.99,17.4,UP,True,0.56,0.01,4.6,0.42,9.2,0.7179,0.1579,True
2026-06-17T13:49:45Z,1781703900,15,14.7,65247.25,65226.99,20.26,UP,True,0.95,0.01,35.6,0.06,36.4,0.8221,-0.1279,False
2026-06-17T13:53:00Z,1781704200,120,119.6,65287.77,65241.4,46.37,UP,True,0.82,0.01,64.0,0.19,1176.7,0.7424,-0.0776,False
2026-06-17T13:53:30Z,1781704200,90,89.5,65246.39,65241.4,4.99,UP,True,0.4,0.01,707.7,0.61,190.8,0.5385,0.1385,True
2026-06-17T13:54:00Z,1781704200,60,59.5,65247.65,65241.4,6.26,UP,True,0.55,0.01,49.6,0.46,633.2,0.5731,0.0231,False
2026-06-17T13:54:30Z,1781704200,30,30.0,65228.76,65241.4,-12.64,DOWN,True,0.77,0.01,47.0,0.24,272.0,0.7468,-0.0232,False
2026-06-17T13:54:45Z,1781704200,15,14.6,65219.33,65241.4,-22.06,DOWN,True,0.61,0.01,150.1,0.4,465.0,0.9214,0.3114,True
2026-06-17T13:58:00Z,1781704500,120,119.8,65248.56,65275.9,-27.34,DOWN,True,0.71,0.01,754.8,0.3,439.7,0.708,-0.002,False
2026-06-17T13:58:30Z,1781704500,90,89.7,65242.28,65275.9,-33.62,DOWN,True,0.75,0.01,138.0,0.26,473.2,0.8643,0.1143,True
2026-06-17T13:59:00Z,1781704500,60,59.6,65210.24,65275.9,-65.66,DOWN,True,0.97,0.01,888.0,0.04,495.6,0.9705,0.0005,False
2026-06-17T13:59:30Z,1781704500,30,30.0,65233.57,65275.9,-42.33,DOWN,True,0.92,0.01,113.0,0.09,43.6,0.9126,-0.0074,False
2026-06-17T13:59:45Z,1781704500,15,14.6,65250.74,65275.9,-25.16,DOWN,True,0.95,0.01,219.7,0.06,13.3,0.8473,-0.1027,False
2026-06-17T14:03:00Z,1781704800,120,119.7,65159.66,65238.29,-78.64,DOWN,True,0.88,0.01,1110.9,0.13,61.4,0.9065,0.0265,False
2026-06-17T14:03:30Z,1781704800,90,89.5,65147.85,65238.29,-90.44,DOWN,True,0.96,0.01,187.3,0.05,781.0,0.9816,0.0216,False
2026-06-17T14:04:00Z,1781704800,60,59.8,65209.38,65238.29,-28.91,DOWN,True,0.77,0.01,339.7,0.24,118.8,0.8161,0.0461,False
2026-06-17T14:04:30Z,1781704800,30,29.6,65156.48,65238.29,-81.82,DOWN,True,0.98,0.01,50.8,0.02,57.3,0.9986,0.0186,False
2026-06-17T14:04:45Z,1781704800,15,14.7,65142.07,65238.29,-96.23,DOWN,False,,,0.0,0.01,22426.7,1.0,,False
2026-06-17T14:08:00Z,1781705100,120,119.9,65221.56,65141.18,80.39,UP,True,0.93,0.01,299.2,0.08,1405.1,0.9358,0.0058,False
2026-06-17T14:08:30Z,1781705100,90,89.7,65282.91,65141.18,141.73,UP,True,0.99,0.01,246.8,0.01,256.0,0.9968,0.0068,False
2026-06-17T14:09:00Z,1781705100,60,59.6,65273.33,65141.18,132.15,UP,False,,,0.0,0.01,25.0,0.9973,,False
2026-06-17T14:09:30Z,1781705100,30,29.5,65199.33,65141.18,58.15,UP,True,0.95,0.01,27.1,0.06,321.8,0.984,0.034,False
2026-06-17T14:09:45Z,1781705100,15,14.6,65155.82,65141.18,14.65,UP,True,0.76,0.01,32.2,0.27,2.1,0.8082,0.0482,False
2026-06-17T14:13:00Z,1781705400,120,119.8,65270.11,65157.52,112.59,UP,True,0.97,0.01,573.8,0.04,822.8,0.9662,-0.0038,False
2026-06-17T14:13:30Z,1781705400,90,89.6,65254.17,65157.52,96.65,UP,True,0.96,0.01,205.4,0.05,823.9,0.9784,0.0184,False
2026-06-17T14:14:00Z,1781705400,60,59.6,65255.1,65157.52,97.58,UP,True,0.971,0.001,51.9,0.03,230.7,0.9999,0.0289,False
2026-06-17T14:14:30Z,1781705400,30,30.0,65290.94,65157.52,133.42,UP,False,,,0.0,0.008,142.6,1.0,,False
2026-06-17T14:14:45Z,1781705400,15,14.6,65281.76,65157.52,124.24,UP,False,,,0.0,0.001,27046.0,1.0,,False
2026-06-17T14:18:00Z,1781705700,120,119.8,65278.05,65291.73,-13.69,DOWN,True,0.6,0.01,493.6,0.41,732.4,0.605,0.005,False
2026-06-17T14:18:30Z,1781705700,90,89.7,65276.81,65291.73,-14.93,DOWN,True,0.61,0.01,10.7,0.4,1051.2,0.6905,0.0805,True
2026-06-17T14:19:00Z,1781705700,60,59.6,65218.2,65291.73,-73.53,DOWN,True,0.96,0.01,370.8,0.05,427.7,0.9971,0.0371,False
2026-06-17T14:19:30Z,1781705700,30,30.0,65223.37,65291.73,-68.36,DOWN,False,,,0.0,0.01,4026.2,0.9993,,False
2026-06-17T14:19:45Z,1781705700,15,14.5,65206.95,65291.73,-84.79,DOWN,False,,,0.0,0.01,27352.9,1.0,,False
2026-06-17T14:23:00Z,1781706000,120,119.8,65149.77,65209.46,-59.7,DOWN,True,0.86,0.01,489.8,0.15,376.9,0.8686,0.0086,False
2026-06-17T14:23:30Z,1781706000,90,89.7,65175.61,65209.46,-33.85,DOWN,True,0.76,0.01,954.0,0.28,5.0,0.7662,0.0062,False
2026-06-17T14:24:00Z,1781706000,60,59.5,65202.25,65209.46,-7.21,DOWN,True,0.6,0.01,668.9,0.41,127.0,0.5944,-0.0056,False
2026-06-17T14:24:30Z,1781706000,30,29.9,65245.35,65209.46,35.89,UP,True,0.92,0.01,84.6,0.09,18.9,0.9432,0.0232,False
2026-06-17T14:24:45Z,1781706000,15,14.5,65226.4,65209.46,16.94,UP,True,0.48,0.01,4.8,0.57,5.0,0.8198,0.3398,True
2026-06-17T14:28:00Z,1781706300,120,119.8,65139.51,65202.77,-63.26,DOWN,True,0.87,0.01,1308.5,0.14,180.6,0.9726,0.1026,True
2026-06-17T14:28:30Z,1781706300,90,89.7,65154.86,65202.77,-47.91,DOWN,True,0.84,0.01,314.0,0.17,745.6,0.9574,0.1174,True
2026-06-17T14:29:00Z,1781706300,60,59.5,65147.12,65202.77,-55.65,DOWN,True,0.91,0.01,4.9,0.1,1034.4,0.9944,0.0844,True
2026-06-17T14:44:55Z,1781707200,120,4.9,65057.75,65057.75,0.0,UP,True,0.94,0.01,34.0,0.07,203.0,0.5,-0.44,False
2026-06-17T14:44:55Z,1781707200,90,4.2,65058.23,65057.75,0.47,UP,True,0.97,0.01,126.9,0.04,230.1,0.6393,-0.3307,False
2026-06-17T14:44:56Z,1781707200,60,3.5,65058.23,65057.75,0.47,UP,True,0.97,0.01,13.0,0.04,145.5,0.6518,-0.3182,False
2026-06-17T14:44:57Z,1781707200,30,2.8,65058.71,65057.75,0.96,UP,True,0.99,0.02,4014.4,0.02,508.8,0.8094,-0.1806,False
2026-06-17T14:44:57Z,1781707200,15,2.1,65058.84,65057.75,1.08,UP,True,0.99,0.01,2740.7,0.02,472.1,0.8727,-0.1173,False
2026-06-17T15:03:56Z,1781708400,120,63.6,65060.26,65058.81,1.45,UP,True,0.97,0.01,594.8,0.04,1292.0,0.5166,-0.4534,False
2026-06-17T15:03:57Z,1781708400,90,62.4,65060.26,65058.81,1.45,UP,True,0.97,0.01,56.1,0.04,1870.3,0.5168,-0.4532,False
2026-06-17T15:04:00Z,1781708400,60,59.6,65060.26,65058.81,1.45,UP,True,0.97,0.01,6766.0,0.04,426.6,0.5172,-0.4528,False
2026-06-17T15:04:30Z,1781708400,30,29.5,65149.03,65058.81,90.21,UP,False,,,0.0,0.01,7648.5,1.0,,False
